Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Afghanistan,AFG,67.7304964539007,74.9890940817217,85.9099804305284,78.6364080993837,85.3235490326885,86.0501112508465,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Albania,ALB,86.4077669902913,96.1490163248221,100,100,100,100,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Algeria,DZA,0.838301043219076,0.212498032425626,1.08368033172465,0.55101018533979,0.395379969490365,0.322683798947644,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,American Samoa,ASM,0,0,0.70242656449553,0.703140481075933,0.700882474752302,0.885478158205431,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Andorra,AND,100,100,86.6894197952219,88.7532693984307,89.4321766561514,86.1167002012072,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Angola,AGO,86.2068965517241,63.1141868512111,60.7994842037395,58.0209347614411,53.1751054852321,53.1749283080705,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Antigua and Barbuda,ATG,0,0,0,0,0,0,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Argentina,ARG,35.4414662987781,33.159374648521,29.2611353196635,31.4844907174391,31.5762041956827,28.1400691239471,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Armenia,ARM,15.0067554526153,21.1648204095334,28.9447486311598,28.2360570687419,25.7548387096774,28.3369662777279,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Aruba,ABW,0,0,14.9152542372881,14.9121861868333,15.0992799476326,14.8561614426793,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Australia,AUS,9.65603064418908,8.3816185720276,10.5926533603071,13.2641083883167,14.9067122095833,13.6378410946741,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Austria,AUT,66.2021259331386,72.5440090857467,74.5291806141755,78.0247869868319,81.0568683458842,76.4907792691417,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Azerbaijan,AZE,7.16136834830684,8.20364725386384,7.92152427353402,6.67123404984157,5.62924619864122,7.0398574206092,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,"Bahamas, The",BHS,0,0,0,0,0,0,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Bahrain,BHR,0,0,0,0,0,0,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Bangladesh,BGD,11.4330056906363,4.74922325787838,1.60001647378609,1.94653614457831,1.31972423672665,1.2268899018827,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Barbados,BRB,0,0,0,0,0,0,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Belarus,BLR,0.0505996053230785,0.103444312478449,0.555212831585441,0.844256831815152,0.722614078019289,0.815679830995834,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Belgium,BEL,0.789563534968417,1.26128085245189,12.8128790384827,14.2093861058371,17.0806411009482,20.8000230056939,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Belize,BLZ,0,70.0729927007299,49.1940058214813,55.8130131931025,50.7054753739704,45.2399304748245,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Benin,BEN,0,2.38095238095238,0,0,0,5.55555555555556,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Bermuda,BMU,0,0,0,0,0,0,..,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Bhutan,BTN,99.5524296675192,100,99.997070326805,99.9934556173054,99.9928610794619,99.9935464335397,..,..,..,..,..,..
